,"bitmex-XRP/BTC-{'name': 'rsi', 'params': {'rsi_period': 14}}"
149,40.12122326941125
150,38.67776444932145
151,37.23509325007406
152,41.90252458504104
153,38.79561659705799
154,37.30617455699069
155,44.22434937596128
156,44.22434937596128
157,46.50635678774763
158,52.75180441834662
159,48.67204622352798
160,52.618362200065526
161,57.852934354991945
162,49.93204581000701
163,44.96014804275299
164,44.960148042752984
165,43.293611808943425
166,43.29361180894342
167,43.293611808943425
168,43.293611808943425
169,43.293611808943425
170,43.29361180894343
171,35.161208430486404
172,35.161208430486404
173,38.510152428820795
174,30.130379316888316
175,33.25839105003319
176,31.728655563658425
177,37.882464419984615
178,37.882464419984615
179,40.968012537262474
180,40.968012537262474
181,33.29556607020728
182,36.49744469318257
183,33.077653895247636
184,33.077653895247636
185,29.83545864379656
186,46.71071260835715
187,50.9458886574193
188,52.958977741283285
189,52.9589777412833
190,52.9589777412833
191,55.252537419930334
192,50.00165435576849
193,45.3593692457371
194,37.80045900419333
195,40.471271973848374
196,43.10235916058554
197,39.355804207512804
198,48.91903872711574
199,52.91696433552113
200,64.7884580234903
201,60.669956016170524
202,56.78270656394968
203,56.78270656394968
204,61.116737922298405
205,63.7282745660682
206,61.50398475138778
207,68.58814971321753
208,68.58814971321755
209,51.9553955290925
210,55.80284418628263
211,65.67129639546977
212,66.47737505092267
213,61.789855058422226
214,62.73316669112852
215,58.099203085915065
216,61.18679303992568
217,62.187026986196905
218,66.79472334919689
219,67.64393016404976
220,70.85476924669543
221,70.85476924669543
222,68.8731416323324
223,66.85941635274484
224,69.719744151038
225,67.62455375286805
226,61.63994339705001
227,62.821057694282224
228,58.914033305281045
229,60.24535629406549
230,58.21392794469732
231,59.67813737878282
232,61.1443941161532
233,62.60867688452109
234,62.60867688452109
235,55.35115173120781
236,51.09853813087412
237,51.098538130874104
238,51.09853813087412
239,53.33737515897262
240,46.46464627316214
241,40.80263801171203
242,43.28359911605795
243,55.36963707946077
244,53.329876015275715
245,58.29368823713862
246,64.97921587102996
247,62.81060534735582
248,64.10086111564702
249,59.64391367992389
250,55.488971300958
251,59.99122598241857
252,62.699952946082284
253,54.72047425881479
254,48.12477694330316
255,49.755295889174434
256,51.40036285850431
257,51.40036285850431
258,53.17827409381207
259,47.557432039772685
260,47.55743203977268
261,53.28409092717842
262,51.2741679483541
263,54.9354374138795
264,58.30907656299299
265,58.309076562993
266,60.04363452097149
267,55.10556249697667
268,55.10556249697667
269,55.10556249697667
270,55.10556249697667
271,55.10556249697667
272,49.23973157230617
273,49.23973157230618
274,49.23973157230618
275,49.23973157230618
276,62.61971218356812
277,76.98979815868582
278,74.19727564595757
279,66.41453470861298
280,66.41453470861296
281,63.82636449250302
282,56.68905022733618
283,42.90934295331333
284,42.90934295331334
285,42.90934295331333
286,42.90934295331334
287,49.144517189760364
288,43.972612586810286
289,42.371887781688535
290,42.371887781688535
291,46.85896722043857
292,41.623623585204804
293,41.62362358520481
294,35.491812545913135
295,40.23277642840957
296,38.70122628101354
297,37.17713216549885
298,42.089168178478864
299,38.82036978609465
300,37.262109789104876
301,42.25454820575765
302,44.62719985493592
303,42.73617795254663
304,40.871096127917895
305,39.036430224111
306,37.23634750494133
307,37.23634750494133
308,48.29672139739668
309,42.27899787340847
310,40.46891056691552
311,45.49495389718146
312,53.88132209493843
313,49.75881044459891
314,49.75881044459891
315,49.7588104445989
316,52.049875602807646
317,49.613404632470946
318,54.228217066508385
319,60.1273724848026
320,55.034954486009546
321,52.634587051054105
322,54.75954697164559
323,54.75954697164559
324,60.86776693471088
325,60.86776693471088
326,60.86776693471088
327,52.08460053587972
328,58.52913459424048
329,55.83341905476662
330,55.83341905476663
331,70.17270901028418
332,73.286105948224
333,75.98557056183948
334,75.98557056183948
335,73.12878963880848
336,67.6506574368857
337,67.65065743688568
338,64.83429659219354
339,59.499202310917966
340,56.97470969951207
341,54.485132184758015
342,52.036431398352704
343,45.43876743234193
344,45.43876743234193
345,43.315642457998365
346,33.270710027764444
347,35.9372097504259
348,38.58033162900653
349,45.804392050540585
350,39.186315929960465
351,35.09117804053524
352,33.822354127091465
353,38.6038034160249
354,48.60195144465897
355,46.955022631211946
356,56.48327511411069
357,59.11930703934054
358,57.25189973585062
359,55.368438537949274
360,56.89555961068156
361,63.601628752833285
362,66.92641147090848
363,59.166123241292034
364,52.598095002838384
365,53.97369664339914
366,55.3685313684121
367,55.3685313684121
368,55.368531368412086
369,58.50940433024554
370,60.02422348906302
371,61.53654488467042
372,43.72324854194177
373,56.05329462538467
374,60.22442975458502
375,60.22442975458502
376,61.28970967579954
377,62.37490913217354
378,62.37490913217354
379,62.37490913217354
380,62.37490913217354
381,62.37490913217354
382,62.37490913217354
383,59.76146930132735
384,63.092171141608866
385,64.66698430706667
386,64.66698430706667
387,64.66698430706667
388,64.66698430706666
389,68.305040997455
390,61.487040489296106
391,69.64466920252373
392,73.29909358755361
393,74.4052055397215
394,65.62243814603123
395,65.62243814603123
396,68.49752423876913
397,68.49752423876913
398,72.49871610159566
399,73.69793368556043
400,59.68406350483417
401,61.27027772997101
402,54.360353316377044
403,57.77893568911258
