datetime,bitmex-BTC-available-balance,bitmex-BTC-balance,bitmex-BTC-balance-in-USD,bitmex-BTC-price,bitmex-EOS/BTC-leverage,bitmex-EOS/BTC-position,bitmex-EOS/BTC-position-in-BTC,bitmex-EOS/BTC-position-in-USD,bitmex-EOS/BTC-price,bitmex-total-position-in-BTC,bitmex-total-position-in-USD,bitmex-{}-fill,fee,total,total-in-USD,returns,equity_curve,drawdown
2019-05-02 03:31:00,111234705.22803114,111234705.22803114,582480533926.5851,5236.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,582480533926.5851,0.0,1.0,0.0
2019-05-02 03:32:00,111234705.22803114,111234705.22803114,581924360400.445,5231.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581924360400.445,0.0,1.0,0.0
2019-05-02 03:33:00,111234705.22803114,111234705.22803114,581423804226.9188,5227.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581423804226.9188,0.0,1.0,0.0
2019-05-02 03:34:00,111234705.22803114,111234705.22803114,581423804226.9188,5227.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581423804226.9188,0.0,1.0,0.0
2019-05-02 03:35:00,111234705.22803114,111234705.22803114,581535038932.1469,5228.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581535038932.1469,0.0,1.0,0.0
2019-05-02 03:36:00,111234705.22803114,111234705.22803114,581868743047.8309,5231.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581868743047.8309,0.0,1.0,0.0
2019-05-02 03:37:00,111234705.22803114,111234705.22803114,581813125695.2169,5230.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581813125695.2169,0.0,1.0,0.0
2019-05-02 03:38:00,111234705.22803114,111234705.22803114,581813125695.2169,5230.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581813125695.2169,0.0,1.0,0.0
2019-05-02 03:39:00,111234705.22803114,111234705.22803114,581813125695.2169,5230.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581813125695.2169,0.0,1.0,0.0
2019-05-02 03:40:00,111234705.22803114,111234705.22803114,581813125695.2169,5230.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581813125695.2169,0.0,1.0,0.0
2019-05-02 03:41:00,111234705.22803114,111234705.22803114,581868743047.8309,5231.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581868743047.8309,0.0,1.0,0.0
2019-05-02 03:42:00,111234705.22803114,111234705.22803114,581868743047.8309,5231.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581868743047.8309,0.0,1.0,0.0
2019-05-02 03:43:00,111234705.22803114,111234705.22803114,581868743047.8309,5231.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581868743047.8309,0.0,1.0,0.0
2019-05-02 03:44:00,111234705.22803114,111234705.22803114,581590656284.7609,5228.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581590656284.7609,0.0,1.0,0.0
2019-05-02 03:45:00,111234705.22803114,111234705.22803114,581201334816.4628,5225.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581201334816.4628,0.0,1.0,0.0
2019-05-02 03:46:00,111234705.22803114,111234705.22803114,581256952169.0768,5225.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,581256952169.0768,0.0,1.0,0.0
2019-05-02 03:47:00,111234705.22803114,111234705.22803114,580645161290.3225,5220.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580645161290.3225,0.0,1.0,0.0
2019-05-02 03:48:00,111234705.22803114,111234705.22803114,580645161290.3225,5220.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580645161290.3225,0.0,1.0,0.0
