datetime,bitmex-XRP/BTC-position-in-USD,bitmex-EOS/BTC-position-in-USD,cash
2019-05-02 08:05:00-04:00,-794.9194656,0.0,0.7965246049438711
2019-05-02 08:10:00-04:00,-794.98697368,0.0,0.7965246049438711
2019-05-02 08:15:00-04:00,-796.266688,0.0,0.7965246049438711
2019-05-02 08:20:00-04:00,-799.7543961599999,0.0,0.7965246049438711
2019-05-02 08:25:00-04:00,-798.90117312,0.0,0.7965246049438711
2019-05-02 08:30:00-04:00,-799.46998848,0.0,0.7965246049438711
2019-05-02 08:35:00-04:00,-799.53706904,0.0,0.7965246049438711
2019-05-02 08:40:00-04:00,-800.4306259199999,0.0,0.7965246049438711
2019-05-02 08:45:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 08:50:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 08:55:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 09:00:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 09:05:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 09:10:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 09:15:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 09:20:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 09:25:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 09:30:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 09:35:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 09:40:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 09:45:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 09:50:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 09:55:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 10:00:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 10:05:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 10:10:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 10:15:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 10:20:00-04:00,0.0,0.0,0.9469105899038711
2019-05-02 10:25:00-04:00,0.0,0.0,0.9469105899038711
