datetime,bitmex-ADA/BTC-fill,bitmex-ADA/BTC-leverage,bitmex-ADA/BTC-position-in-BTC,bitmex-ADA/BTC-position-in-USD,bitmex-ADA/BTC-price,bitmex-BTC-available-balance,bitmex-BTC-balance,bitmex-BTC-balance-in-USD,bitmex-BTC-price,bitmex-EOS/BTC-fill,bitmex-EOS/BTC-leverage,bitmex-EOS/BTC-position-in-BTC,bitmex-EOS/BTC-position-in-USD,bitmex-EOS/BTC-price,bitmex-TRX/BTC-fill,bitmex-TRX/BTC-leverage,bitmex-TRX/BTC-position-in-BTC,bitmex-TRX/BTC-position-in-USD,bitmex-TRX/BTC-price,bitmex-XRP/BTC-fill,bitmex-XRP/BTC-leverage,bitmex-XRP/BTC-position-in-BTC,bitmex-XRP/BTC-position-in-USD,bitmex-XRP/BTC-price,bitmex-total-position-in-BTC,bitmex-total-position-in-USD,fee,total,total-in-USD,benchmark_equity,btc_benchmark_equity,returns,btc_returns,benchmark_returns,btc_benchmark_returns,equity_curve,btc_equity_curve,benchmark_equity_curve,btc_benchmark_equity_curve,drawdown,btc_drawdown
2019-05-02 17:32:00-04:00,,1,0.0,0.0,1.267e-05,0.7909057637481457,0.9514262237481462,5104.877403520679,5365.5,,1,0.0,0.0,0.0008715,,1,0.0,0.0,4.2999999999999995e-06,,1,-0.14994804,-804.54620862,5.566e-05,-0.14994804,-804.54620862,0.007083119115,0.9514262237481462,5104.877403520679,5127.090301003344,0.9318796011555307,9.319664492069002e-05,0.0,9.319664492069002e-05,-9.318796011559272e-05,1.0215608464838066,0.9962383988866831,1.0254180602006602,0.9752120026092609,0.002238667701947028,0.006413689498678932
2019-05-02 17:33:00-04:00,,1,0.0,0.0,1.266e-05,0.6400231866231457,0.9513131466231463,5103.79503163318,5365.0,MarketSell,1,-0.150683,-808.414295,0.0008710000000000001,,1,0.0,0.0,4.2999999999999995e-06,,1,-0.14997498,-804.6157677,5.567e-05,-0.30065798,-1613.0300627000001,0.00719619624,0.9513131466231463,5103.79503163318,5126.612517916866,0.9319664492078286,-0.000212027009062421,-0.00011885012434753595,-9.318796011559272e-05,9.319664492091206e-05,1.0213442479929513,0.9961199958290956,1.0253225035833644,0.9753028890959907,0.002455266192802341,0.006532092556266411
2019-05-02 17:34:00-04:00,,1,0.0,0.0,1.266e-05,0.6400231866231457,0.9513131466231463,5100.465435619999,5361.5,,1,-0.1505965,-807.4231347499999,0.0008705,,1,0.0,0.0,4.2999999999999995e-06,,1,-0.15000192,-804.23529408,5.568e-05,-0.30059842000000003,-1611.65842883,0.00719619624,0.9513131466231463,5100.465435619999,5123.268036311515,0.9325748391308403,-0.0006523765144454963,0.0,-0.0006523765144453852,0.0006528023873915156,1.0206779469923968,0.9961199958290956,1.0246536072622943,0.9759395691504225,0.003121567193356878,0.006532092556266411
2019-05-02 17:35:00-04:00,,1,0.0,0.0,1.266e-05,0.6400231866231457,0.9513131466231463,5102.843718486556,5364.0,,1,-0.1506138,-807.8924231999999,0.0008705999999999999,,1,0.0,0.0,4.2999999999999995e-06,,1,-0.15002885999999999,-804.75480504,5.569e-05,-0.30064265999999995,-1612.64722824,0.00719619624,0.9513131466231463,5102.843718486556,5125.656951743908,0.9321401938851603,0.0004662874195653366,0.0,0.0004662874195653366,-0.0004660700969425502,1.021153876278507,0.9961199958290956,1.0251313903487729,0.9754847129008184,0.0026456379072465896,0.006532092556266411
2019-05-02 17:36:00-04:00,,1,0.0,0.0,1.266e-05,0.6400231866231457,0.9513131466231463,5102.368061913245,5363.5,,1,-0.1506138,-807.8171163,0.0008705999999999999,,1,0.0,0.0,4.2999999999999995e-06,,1,-0.15005580000000002,-804.8242833,5.5700000000000005e-05,-0.3006696,-1612.6413996,0.00719619624,0.9513131466231463,5102.368061913245,5125.17916865743,0.9322270905192505,-9.321401938844343e-05,0.0,-9.321401938855445e-05,9.32227090519877e-05,1.021058690421285,0.9961199958290956,1.025035833731477,0.9755756502283938,0.002740823764468603,0.006532092556266411
2019-05-02 17:37:00-04:00,,1,0.0,0.0,1.266e-05,0.6400231866231457,0.9513131466231463,5099.038465900064,5360.0,,1,-0.1505965,-807.19724,0.0008705,,1,0.0,0.0,4.2999999999999995e-06,,1,-0.15005580000000002,-804.2990880000001,5.5700000000000005e-05,-0.3006523,-1611.4963280000002,0.00719619624,0.9513131466231463,5099.038465900064,5121.834687052078,0.9328358208955224,-0.0006525589633634699,0.0,-0.0006525589633635809,0.0006529850746268551,1.0203923894207305,0.9961199958290956,1.0243669374104067,0.9762126865671623,0.0034071247650231395,0.006532092556266411
2019-05-02 17:38:00-04:00,,1,0.0,0.0,1.266e-05,0.6400231866231457,0.9513131466231463,5098.562809326752,5359.5,,1,-0.15063110000000002,-807.3073804500001,0.0008707000000000001,,1,0.0,0.0,4.2999999999999995e-06,,1,-0.15008274,-804.36844503,5.571e-05,-0.30071384,-1611.6758254800002,0.00719619624,0.9513131466231463,5098.562809326752,5121.3569039655995,0.9329228472805299,-9.328358208948728e-05,0.0,-9.328358208948728e-05,9.329228472809703e-05,1.0202972035635085,0.9961199958290956,1.024271380793111,0.9763037596790727,0.0035023106222451528,0.006532092556266411
2019-05-02 17:39:00-04:00,,1,0.0,0.0,1.266e-05,0.6400231866231457,0.9513131466231463,5098.087152753441,5359.0,,1,-0.1506138,-807.1393542,0.0008705999999999999,,1,0.0,0.0,4.2999999999999995e-06,,1,-0.15010968,-804.43777512,5.572e-05,-0.30072348,-1611.57712932,0.00719619624,0.9513131466231463,5098.087152753441,5120.879120879121,0.933009889904833,-9.329228472798601e-05,0.0,-9.329228472798601e-05,9.330098899051897e-05,1.0202020177062865,0.9961199958290956,1.0241758241758152,0.9763948497854059,0.003597496479467166,0.006532092556266411
2019-05-02 17:40:00-04:00,,1,0.0,0.0,1.266e-05,0.6400231866231457,0.9513131466231463,5097.135839606818,5358.0,,1,-0.15063110000000002,-807.0814338000001,0.0008707000000000001,,1,0.0,0.0,4.2999999999999995e-06,,1,-0.15010968,-804.28766544,5.572e-05,-0.30074078000000004,-1611.3690992400002,0.00719619624,0.9513131466231463,5097.135839606818,5119.9235547061635,0.933184023889511,-0.00018660197798092693,0.0,-0.00018660197798092693,0.00018663680477781774,1.0200116459918425,0.9961199958290956,1.0239847109412237,0.9765770810003713,0.0037878681939111924,0.006532092556266411
2019-05-02 17:41:00-04:00,,1,0.0,0.0,1.267e-05,0.6400231866231457,0.9513131466231463,5096.660183033506,5357.5,,1,-0.1506138,-806.9134335,0.0008705999999999999,,1,0.0,0.0,4.2999999999999995e-06,,1,-0.15013662,-804.35694165,5.573e-05,-0.30075041999999996,-1611.2703751499998,0.00719619624,0.9513131466231463,5096.660183033506,5119.445771619685,0.9332711152589828,-9.331840238913092e-05,0.0,-9.331840238890887e-05,9.332711152598705e-05,1.0199164601346202,0.9961199958290956,1.023889154323928,0.9766682221185236,0.0038830540511334277,0.006532092556266411
