time,open,high,low,close,vol,id,timestamp
1554127740,4153.14,4153.46,4152,4152.2,19.853733000000013,"10929","2019-04-01 14:09:00"
1554127800,4152.2,4153,4152,4152,22.701951,"10930","2019-04-01 14:10:00"
1554127860,4152.85,4152.97,4150,4150.59,35.85345,"10931","2019-04-01 14:11:00"
1554127920,4150.6,4150.61,4149.3,4149.3,30.583500000000004,"10932","2019-04-01 14:12:00"
1554127980,4149.47,4149.95,4145.1,4145.13,49.493948999999986,"10933","2019-04-01 14:13:00"
1554128040,4145.98,4146.94,4144.85,4144.91,27.190298999999996,"10934","2019-04-01 14:14:00"
1554128100,4145.53,4146,4143,4143.36,21.451801999999986,"10935","2019-04-01 14:15:00"
1554128160,4143.36,4144.64,4141.54,4143,26.755313000000008,"10936","2019-04-01 14:16:00"
1554128220,4143,4144.99,4142.03,4143.39,30.67065200000001,"10937","2019-04-01 14:17:00"
1554128280,4144.02,4146.18,4143.09,4145.85,16.780177000000013,"10938","2019-04-01 14:18:00"
1554128340,4145.85,4146.11,4144.13,4144.74,11.386998999999998,"10939","2019-04-01 14:19:00"
1554128400,4144.94,4147.77,4144.72,4146.06,17.392794,"10940","2019-04-01 14:20:00"
1554128460,4147.32,4149,4146.02,4147.39,14.238608999999997,"10941","2019-04-01 14:21:00"
1554128520,4147.4,4151.23,4147.4,4148.5,13.034918999999993,"10942","2019-04-01 14:22:00"
1554128580,4149,4151.4,4148.66,4151.33,9.109155000000001,"10943","2019-04-01 14:23:00"
1554128640,4151.01,4151.64,4150.33,4151.53,10.839472000000002,"10944","2019-04-01 14:24:00"
1554128700,4151.37,4153,4151.37,4153,16.878741,"10945","2019-04-01 14:25:00"
1554128760,4151.42,4152.89,4150,4150.9,20.885616000000017,"10946","2019-04-01 14:26:00"
1554128820,4151.25,4151.28,4148.94,4149.7,13.873790999999994,"10947","2019-04-01 14:27:00"
1554128880,4149.85,4149.85,4147.78,4147.84,22.796230000000005,"10948","2019-04-01 14:28:00"
1554128940,4148.55,4150.35,4147.9,4148.96,18.504686,"10949","2019-04-01 14:29:00"
1554129000,4148.03,4152.63,4148,4151.05,20.358288000000005,"10950","2019-04-01 14:30:00"
1554129060,4152.55,4152.98,4150.97,4152.42,17.486218,"10951","2019-04-01 14:31:00"
1554129120,4152.42,4154,4151.88,4153.99,20.893476999999994,"10952","2019-04-01 14:32:00"
1554129180,4153.13,4156,4152.85,4155.2,47.05847499999999,"10953","2019-04-01 14:33:00"
1554129240,4156,4156,4151.52,4152.85,24.715435000000003,"10954","2019-04-01 14:34:00"
1554129300,4151.58,4152.84,4150,4151,20.863720999999995,"10955","2019-04-01 14:35:00"
1554129360,4151,4151.47,4148.74,4151,71.68928800000005,"10956","2019-04-01 14:36:00"
1554129420,4150.01,4153.28,4149.49,4150.4,91.40138800000001,"10957","2019-04-01 14:37:00"
1554129480,4151.46,4153.66,4149.59,4153.02,37.31388300000001,"10958","2019-04-01 14:38:00"
1554129540,4153.03,4155,4152.89,4154,25.789540000000013,"10959","2019-04-01 14:39:00"
1554129600,4154,4158.7,4153.97,4158,69.71862300000002,"10960","2019-04-01 14:40:00"
1554129660,4157.24,4157.95,4154.64,4156.1,18.45269799999999,"10961","2019-04-01 14:41:00"
1554129720,4154.65,4157.02,4154.46,4156.81,18.390616000000005,"10962","2019-04-01 14:42:00"
1554129780,4155.79,4157.01,4154.06,4154.44,29.984706,"10963","2019-04-01 14:43:00"
1554129840,4154.44,4154.44,4151.84,4154.35,23.711187,"10964","2019-04-01 14:44:00"
1554129900,4154.33,4155.28,4152.35,4154.24,20.761709,"10965","2019-04-01 14:45:00"
1554129960,4154.2,4156.43,4150.66,4151.91,36.656145,"10966","2019-04-01 14:46:00"
1554130020,4150.68,4151.87,4147,4147.71,35.444096,"10967","2019-04-01 14:47:00"
1554130080,4148.75,4149.74,4147.1,4148,15.766920000000004,"10968","2019-04-01 14:48:00"
1554130140,4148,4148.68,4144.4,4144.87,20.535041999999997,"10969","2019-04-01 14:49:00"
1554130200,4145,4145,4140.44,4143.67,31.34393900000003,"10970","2019-04-01 14:50:00"
1554130260,4144.04,4144.61,4142.27,4143.83,15.314474999999991,"10971","2019-04-01 14:51:00"
1554130320,4143.82,4143.82,4141,4142.56,19.33585800000001,"10972","2019-04-01 14:52:00"
1554130380,4143,4144,4141.29,4144,27.373932999999987,"10973","2019-04-01 14:53:00"
1554130440,4142.7,4144,4142.65,4143.98,16.209688,"10974","2019-04-01 14:54:00"
1554130500,4143.98,4144,4141.03,4142.98,32.50020099999998,"10975","2019-04-01 14:55:00"
1554130560,4143,4143,4137.03,4139.99,73.56992400000003,"10976","2019-04-01 14:56:00"
1554130620,4139.2,4140.99,4136.75,4139.5,44.847293000000015,"10977","2019-04-01 14:57:00"
1554130680,4139.52,4139.52,4134.8,4138.35,93.83280100000005,"10978","2019-04-01 14:58:00"
1554130740,4136.72,4139.04,4135.75,4138.61,69.79063299999996,"10979","2019-04-01 14:59:00"
1554130800,4138.61,4141.99,4135.75,4141.88,51.369114999999994,"10980","2019-04-01 15:00:00"
1554130860,4141.86,4143.78,4140.31,4143,21.847410999999987,"10981","2019-04-01 15:01:00"
1554130920,4143.65,4143.67,4142,4142.11,17.510902000000012,"10982","2019-04-01 15:02:00"
1554130980,4142.11,4142.11,4141.67,4142,15.826525999999996,"10983","2019-04-01 15:03:00"
1554131040,4142,4142.1,4138.7,4140.41,54.210311000000026,"10984","2019-04-01 15:04:00"
1554131100,4140.4,4140.4,4135.82,4138.43,27.055022000000022,"10985","2019-04-01 15:05:00"
1554131160,4138.37,4139.87,4135.6,4137.26,33.86383400000002,"10986","2019-04-01 15:06:00"
1554131220,4138,4140,4134,4140,61.573791999999976,"10987","2019-04-01 15:07:00"
1554131280,4140,4142.09,4139.34,4142.05,19.184704999999994,"10988","2019-04-01 15:08:00"
1554131340,4141.38,4142.8,4140.52,4142,12.503698999999997,"10989","2019-04-01 15:09:00"
1554131400,4141.98,4142.96,4141.39,4142.96,7.920593000000002,"10990","2019-04-01 15:10:00"
1554131460,4142.57,4142.98,4142,4142.98,11.134322,"10991","2019-04-01 15:11:00"
1554131520,4142.98,4143.6,4142,4142.69,16.494604,"10992","2019-04-01 15:12:00"
1554131580,4143.04,4143.04,4140.98,4142.58,19.145038,"10993","2019-04-01 15:13:00"
1554131640,4142.33,4142.82,4140.52,4142.58,12.641870999999993,"10994","2019-04-01 15:14:00"
1554131700,4142.57,4143.53,4141.8,4142.92,12.987215999999993,"10995","2019-04-01 15:15:00"
1554131760,4142.9,4142.9,4140.8,4142.62,10.198194999999998,"10996","2019-04-01 15:16:00"
1554131820,4142.32,4143.54,4142,4143.54,13.767151999999994,"10997","2019-04-01 15:17:00"
1554131880,4143.53,4143.54,4142.23,4143.4,11.200508000000001,"10998","2019-04-01 15:18:00"
1554131940,4143,4143.54,4142.36,4143.54,15.057508999999998,"10999","2019-04-01 15:19:00"
1554132000,4143.25,4144,4142.94,4143.01,11.401046000000008,"11000","2019-04-01 15:20:00"
1554132060,4143.01,4148.94,4143.01,4147.77,22.591813000000002,"11001","2019-04-01 15:21:00"
1554132120,4148.89,4148.94,4143.98,4146.36,13.965529000000002,"11002","2019-04-01 15:22:00"
1554132180,4146.36,4148.73,4145.05,4147.15,14.366594999999997,"11003","2019-04-01 15:23:00"
1554132240,4147.15,4147.85,4144.68,4145.22,12.857020000000002,"11004","2019-04-01 15:24:00"
1554132300,4146.99,4147,4145.06,4146.97,8.491259,"11005","2019-04-01 15:25:00"
1554132360,4146.45,4146.99,4145.01,4145.86,16.990900000000003,"11006","2019-04-01 15:26:00"
1554132420,4146.74,4146.98,4145.64,4146.98,7.0752830000000015,"11007","2019-04-01 15:27:00"
1554132480,4146.35,4146.99,4145.03,4146.36,6.809061999999996,"11008","2019-04-01 15:28:00"
1554132540,4146,4146.54,4145.1,4146.38,10.387886999999997,"11009","2019-04-01 15:29:00"
1554132600,4146.38,4146.84,4145.15,4145.45,10.719106000000007,"11010","2019-04-01 15:30:00"
1554132660,4145.79,4146.48,4145.13,4146.3,10.598484999999998,"11011","2019-04-01 15:31:00"
1554132720,4146.41,4146.83,4144.37,4146.17,17.128685,"11012","2019-04-01 15:32:00"
1554132780,4146.81,4147,4145.59,4147,8.900089999999999,"11013","2019-04-01 15:33:00"
1554132840,4147,4147.39,4144.57,4144.83,15.572683999999999,"11014","2019-04-01 15:34:00"
1554132900,4146.54,4146.54,4144.81,4145.09,6.567347000000001,"11015","2019-04-01 15:35:00"
1554132960,4146.25,4146.54,4145.07,4146.12,12.57884999999999,"11016","2019-04-01 15:36:00"
1554133020,4146.23,4146.23,4142.55,4143.5,11.971758,"11017","2019-04-01 15:37:00"
1554133080,4143.69,4144.11,4141.93,4143,10.895868999999996,"11018","2019-04-01 15:38:00"
1554133140,4143.41,4143.53,4137.82,4142.16,39.91766199999999,"11019","2019-04-01 15:39:00"
1554133200,4142.16,4142.48,4139.37,4141.44,27.890597999999986,"11020","2019-04-01 15:40:00"
1554133260,4140.27,4142.57,4140.24,4142.44,10.606668999999998,"11021","2019-04-01 15:41:00"
1554133320,4141.45,4143.36,4140.53,4142.67,12.037361999999996,"11022","2019-04-01 15:42:00"
1554133380,4142.67,4143.47,4140.76,4143.45,17.147005,"11023","2019-04-01 15:43:00"
1554133440,4142.5,4143.44,4142,4142,8.297892000000003,"11024","2019-04-01 15:44:00"
1554133500,4142.96,4143.51,4140.48,4143.12,12.438274,"11025","2019-04-01 15:45:00"
1554133560,4143.14,4143.69,4141.17,4143.17,22.00758500000001,"11026","2019-04-01 15:46:00"
1554133620,4142.54,4142.95,4141.5,4142.24,10.227539999999996,"11027","2019-04-01 15:47:00"
1554133680,4142.24,4142.32,4138.25,4138.29,17.19091599999999,"11028","2019-04-01 15:48:00"
1554133740,4139.55,4140.65,4137.04,4137.27,20.007186,"11029","2019-04-01 15:49:00"
1554133800,4138.35,4139.54,4135.82,4137.6,24.597024000000008,"11030","2019-04-01 15:50:00"
1554133860,4138.55,4138.98,4135.84,4136.55,12.895520000000003,"11031","2019-04-01 15:51:00"
1554133920,4136.95,4137.47,4135,4135,30.273715000000003,"11032","2019-04-01 15:52:00"
1554133980,4135.84,4135.86,4135,4135.37,15.867587000000004,"11033","2019-04-01 15:53:00"
1554134040,4135.37,4139.8,4135.13,4139.59,25.054055000000016,"11034","2019-04-01 15:54:00"
1554134100,4139.17,4142.67,4139.17,4141.5,36.15460200000001,"11035","2019-04-01 15:55:00"
1554134160,4142.55,4144.08,4141.51,4144.07,19.35377500000001,"11036","2019-04-01 15:56:00"
1554134220,4143.05,4144.08,4142.71,4143.68,11.208869000000005,"11037","2019-04-01 15:57:00"
1554134280,4143.13,4144.6,4143,4143.92,11.608333000000002,"11038","2019-04-01 15:58:00"
1554134340,4143.64,4146.16,4143.62,4145.07,8.655100999999995,"11039","2019-04-01 15:59:00"
1554134400,4145.01,4147.35,4143.76,4147.32,25.239196,"11040","2019-04-01 16:00:00"
1554134460,4147.2,4148,4145.38,4148,25.426725999999995,"11041","2019-04-01 16:01:00"
1554134520,4148,4148.1,4145,4145.99,56.11480000000002,"11042","2019-04-01 16:02:00"
1554134580,4145.02,4146.06,4143.27,4144.14,11.779878000000002,"11043","2019-04-01 16:03:00"
1554134640,4144.14,4147.49,4144.07,4147.49,11.499246999999995,"11044","2019-04-01 16:04:00"
1554134700,4147.46,4147.49,4145.86,4147.4,9.669476999999993,"11045","2019-04-01 16:05:00"
1554134760,4147.4,4147.94,4138.66,4144.71,51.87773799999997,"11046","2019-04-01 16:06:00"
1554134820,4145,4147,4144.6,4145.02,12.880211999999997,"11047","2019-04-01 16:07:00"
1554134880,4145.02,4147.33,4145.02,4147,7.979696,"11048","2019-04-01 16:08:00"
1554134940,4147,4148.13,4146.01,4148.01,13.32996,"11049","2019-04-01 16:09:00"
1554135000,4148.01,4148.55,4146.85,4146.97,12.217372000000001,"11050","2019-04-01 16:10:00"
1554135060,4146.96,4148.57,4146.04,4146.79,16.809736000000004,"11051","2019-04-01 16:11:00"
