Timestamp,Open,High,Low,Close,Volume
1371427200000,99.0,101.01,98.3,100.49,1286.4402078700018
1371513600000,100.39,108.5,99.99,104.12,6069.104177739991
1371600000000,104.49,107.5,102.99,104.99,2830.346560239999
1371686400000,104.83,108.0,102.38,104.55,5580.15645347
1371772800000,103.0,105.0,91.0,101.29,5584.193995460012
1371859200000,101.29,102.4,98.49,100.23,1390.418392149999
1371945600000,100.0,101.5,98.6,100.4,796.2981047599998
1372032000000,100.4,102.13,95.38,98.68,2801.0470020900025
1372118400000,99.35,100.9,97.5,97.58,3395.164344160001
1372204800000,98.5,100.0,96.99,98.69,1466.1279017399977
1372291200000,98.01,98.72,96.31,96.31,1085.4747330400012
1372377600000,96.31,96.52,88.01,89.79,7594.032282080028
1372464000000,89.2,91.6,86.15,88.8,1766.1863614599931
1372550400000,88.53,90.25,88.26,89.55,525.5426988200003
1372636800000,89.58,91.56,1.0,83.5,10021.30520817001
1372723200000,83.51,88.5,83.24,87.68,3732.32847998
1372809600000,89.0,89.56,75.0,77.402,8688.24345300004
1372896000000,77.33,82.0,70.04,79.4,7081.4483921600195
1372982400000,79.4,79.4,64.0,67.0,13816.961176109991
1373068800000,67.0,73.26,62.94,66.12,10426.965307850023
1373155200000,66.12,74.07786,64.89,73.98,4403.968840049998
1373241600000,73.96,77.0,70.0,74.35,8789.767706270013
