datetime,bitmex-ADA/BTC-fill,bitmex-ADA/BTC-leverage,bitmex-ADA/BTC-position-in-BTC,bitmex-ADA/BTC-position-in-USD,bitmex-ADA/BTC-price,bitmex-BCH/BTC-fill,bitmex-BCH/BTC-leverage,bitmex-BCH/BTC-position-in-BTC,bitmex-BCH/BTC-position-in-USD,bitmex-BCH/BTC-price,bitmex-BTC-available-balance,bitmex-BTC-balance,bitmex-BTC-balance-in-USD,bitmex-BTC-price,bitmex-EOS/BTC-fill,bitmex-EOS/BTC-leverage,bitmex-EOS/BTC-position-in-BTC,bitmex-EOS/BTC-position-in-USD,bitmex-EOS/BTC-price,bitmex-XRP/BTC-fill,bitmex-XRP/BTC-leverage,bitmex-XRP/BTC-position-in-BTC,bitmex-XRP/BTC-position-in-USD,bitmex-XRP/BTC-price,bitmex-total-position-in-BTC,bitmex-total-position-in-USD,fee,total,total-in-USD,benchmark_equity,btc_benchmark_equity,returns,btc_returns,benchmark_returns,btc_benchmark_returns,equity_curve,btc_equity_curve,benchmark_equity_curve,btc_benchmark_equity_curve,drawdown,btc_drawdown
2019-05-01 17:00:00-04:00,,1,0.0,0.0,1.275e-05,,1,0.0,0.0,0.05032,0.6499345012531457,0.9589433112531457,5093.90686937671,5312.0,,1,-0.1505997,-799.9856064,0.0008807,,1,-0.15008715,-797.2629408,5.653e-05,-0.30068685,-1597.2485472,0.00022864161000000002,0.9589433112531457,5093.90686937671,5075.967510750119,0.9412650602409639,0.0,0.0,0.0,0.0,1.0193654816864517,1.0041095412131686,1.0151935021500171,0.985033885542168,0.000719596228732744,0.00035934200578346953
2019-05-01 17:01:00-04:00,,1,0.0,0.0,1.275e-05,,1,0.0,0.0,0.0503,0.6499345012531457,0.9589433112531457,5089.591624476071,5307.5,,1,-0.1506168,-799.3986659999999,0.0008807999999999999,,1,-0.15006060000000002,-796.4466345000001,5.652e-05,-0.3006774,-1595.8453005000001,0.00022864161000000002,0.9589433112531457,5089.591624476071,5071.667462971811,0.9420631182289213,-0.0008471385542169196,0.0,-0.0008471385542166976,0.0008478568064058667,1.0185019378860771,1.0041095412131686,1.0143334925943557,0.9858690532265654,0.0015831400291073106,0.00035934200578346953
2019-05-01 17:02:00-04:00,,1,0.0,0.0,1.275e-05,,1,0.0,0.0,0.0503,0.6499345012531457,0.9589433112531457,5089.591624476071,5307.5,,1,-0.1505997,-799.30790775,0.0008807,,1,-0.15008715,-796.5875486250001,5.653e-05,-0.30068685,-1595.895456375,0.00022864161000000002,0.9589433112531457,5089.591624476071,5071.667462971811,0.9420631182289213,0.0,0.0,0.0,0.0,1.0185019378860771,1.0041095412131686,1.0143334925943557,0.9858690532265654,0.0015831400291073106,0.00035934200578346953
2019-05-01 17:03:00-04:00,,1,0.0,0.0,1.275e-05,,1,0.0,0.0,0.050339999999999996,0.6499345012531457,0.9589433112531457,5086.235322886685,5304.0,,1,-0.1505826,-798.6901104000001,0.0008806,,1,-0.15006060000000002,-795.9214224000001,5.652e-05,-0.3006432,-1594.6115328,0.00022864161000000002,0.9589433112531457,5086.235322886685,5068.32298136646,0.942684766214178,-0.0006594441827602049,0.0,-0.0006594441827600939,0.0006598793363499222,1.017830292708008,1.0041095412131686,1.0136645962732855,0.9865196078431364,0.0022547852071763685,0.00035934200578346953
2019-05-01 17:04:00-04:00,,1,0.0,0.0,1.275e-05,,1,0.0,0.0,0.0503,0.6499345012531457,0.9589433112531457,5082.399549641672,5300.0,,1,-0.1503603,-796.90959,0.0008793,,1,-0.15006060000000002,-795.3211800000001,5.652e-05,-0.3004209,-1592.2307700000001,0.00022864161000000002,0.9589433112531457,5082.399549641672,5064.500716674629,0.9433962264150944,-0.0007541478129714507,0.0,-0.0007541478129715617,0.0007547169811321641,1.0170626982187863,1.0041095412131686,1.0129001433349194,0.9872641509433955,0.003022379696398181,0.00035934200578346953
2019-05-01 17:05:00-04:00,,1,0.0,0.0,1.274e-05,,1,0.0,0.0,0.05031,0.6499345012531457,0.9589433112531457,5083.358492952925,5301.0,,1,-0.150138,-795.881538,0.000878,,1,-0.15003405,-795.33049905,5.651e-05,-0.30017205,-1591.21203705,0.00022864161000000002,0.9589433112531457,5083.358492952925,5065.456282847587,0.9432182607055273,0.00018867924528298552,0.0,0.00018867924528320756,-0.00018864365214110723,1.0172545968410915,1.0041095412131686,1.0130912565695112,0.9870779098283335,0.0028304810740928943,0.00035934200578346953
2019-05-01 17:06:00-04:00,,1,0.0,0.0,1.273e-05,,1,0.0,0.0,0.0503,0.6499345012531457,0.9589433112531457,5084.3174362641785,5302.0,,1,-0.1501551,-796.1223402,0.0008781,,1,-0.15006060000000002,-795.6213012000001,5.652e-05,-0.30021570000000003,-1591.7436414000001,0.00022864161000000002,0.9589433112531457,5084.3174362641785,5066.411849020545,0.9430403621274991,0.00018864365214121825,0.0,0.0001886436521409962,-0.00018860807242548905,1.017446495463397,1.0041095412131686,1.0132823698041025,0.986891738966427,0.0026385824517873857,0.00035934200578346953
2019-05-01 17:07:00-04:00,MarketSell,1,-0.14989248,-794.65498272,1.272e-05,,1,0.0,0.0,0.0503,0.49981167351314565,0.9588308035131456,5083.241504824941,5301.5,,1,-0.1501551,-796.0472626500001,0.0008781,,1,-0.15006060000000002,-795.5462709000001,5.652e-05,-0.45010818,-2386.2485162700004,0.00034114935,0.9588308035131456,5083.241504824941,5065.934065934066,0.943129303027445,-0.00021161767586796998,-0.00011732470384828719,-9.430403621268901e-05,9.431293030259802e-05,1.017231185800707,1.0039917343586147,1.0131868131868067,0.9869848156182204,0.0028538921144773965,0.00047714886033745074
2019-05-01 17:08:00-04:00,,1,-0.15001032,-795.35471664,1.273e-05,,1,0.0,0.0,0.05032,0.49981167351314565,0.9588308035131456,5083.720920226699,5302.0,,1,-0.1501551,-796.1223402,0.0008781,,1,-0.15006060000000002,-795.6213012000001,5.652e-05,-0.45022602,-2387.09835804,0.00034114935,0.9588308035131456,5083.720920226699,5066.411849020545,0.9430403621274991,9.431293030282006e-05,0.0,9.431293030282006e-05,-9.430403621268901e-05,1.0173271238546353,1.0039917343586147,1.0132823698041025,0.9868917389664269,0.002757954060549128,0.00047714886033745074
2019-05-01 17:09:00-04:00,,1,-0.15012816,-795.97950432,1.274e-05,,1,0.0,0.0,0.0503,0.49981167351314565,0.9588308035131456,5083.720920226699,5302.0,,1,-0.1501893,-796.3036686,0.0008782999999999999,,1,-0.15003405,-795.4805331,5.651e-05,-0.45035151,-2387.76370602,0.00034114935,0.9588308035131456,5083.720920226699,5066.411849020545,0.9430403621274991,0.0,0.0,0.0,0.0,1.0173271238546353,1.0039917343586147,1.0132823698041025,0.9868917389664269,0.002757954060549128,0.00047714886033745074
