Start Date,End Date,Instrument(s),ols_window,zscore_exit,zscore_entry,Total USD Return,Total BTC Return,Sharpe Ratio,BTC Sharpe Ratio,Max Drawdown,BTC Max Drawdown,Drawdown Duration,BTC Drawdown Duration,Avg. winning trade,Median duration,Avg. losing trade,Median returns winning,Largest losing trade,Gross loss,Largest winning trade,Avg duration,Avg returns losing,Median returns losing,Profit factor,Winning round trips,Percent profitable,Total profit,Shortest duration,Median returns all round trips,Losing round trips,Longest duration,Avg returns all round trips,Gross profit,Avg returns winning,Total number of round trips,Ratio Avg. Win:Avg. Loss,Avg. trade net profit,Even round trips
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,400,1.5,4.0,-2.50%,0.08%,-0.19,0.22,4.30%,0.02%,4153,513,1.3810115093439446,0 days 01:30:30,-1.3903459549379023,0.005505405724703146,-0.010294868530577794,-5.561383819751609,0.025615272685662636,0 days 02:12:40,-0.007303517063537148,-0.009238517800394915,1.9865724849836035,8.0,0.6666666666666666,5.48670825499995,0 days 00:02:00,0.00279096273169233,4.0,0 days 07:05:00,0.002366677414280579,11.048092074751558,0.007201774653189443,12.0,0.9932862424918015,0.4572256879166625,0.0
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,400,1.5,4.5,-2.49%,0.09%,-0.19,0.26,4.29%,0.01%,4153,513,1.366178058093946,0 days 01:27:00,-1.2151537549379094,0.005505405724703146,-0.010294868530577794,-4.860615019751638,0.025615272685662636,0 days 02:11:30,-0.0063740417119907645,-0.007379567097302149,2.248568220346327,8.0,0.6666666666666666,6.068809444999932,0 days 00:02:00,0.00279096273169233,4.0,0 days 07:05:00,0.0026247846137575376,10.929424464751568,0.007124197776631688,12.0,1.1242841101731635,0.505734120416661,0.0
1/3/2019,5/3/2019,bitmex:XRP/BTC.EOS/BTC,400,1.5,5.0,-2.49%,0.09%,-0.19,0.26,4.29%,0.01%,4153,513,1.366178058093946,0 days 01:27:00,-1.2151537549379094,0.005505405724703146,-0.010294868530577794,-4.860615019751638,0.025615272685662636,0 days 02:11:30,-0.0063740417119907645,-0.007379567097302149,2.248568220346327,8.0,0.6666666666666666,6.068809444999932,0 days 00:02:00,0.00279096273169233,4.0,0 days 07:05:00,0.0026247846137575376,10.929424464751568,0.007124197776631688,12.0,1.1242841101731635,0.505734120416661,0.0
1/3/2019,5/3/2019,bitmex:EOS/BTC.ADA/BTC,200,0.5,4.0,-2.33%,0.25%,-0.18,0.43,4.24%,0.03%,4153,853,1.2655842110494802,0 days 02:15:30,-0.8147370789773066,0.00565918536147231,-0.009959594232295116,-5.7031595528411465,0.020949853429494847,0 days 02:51:05,-0.004286603037992536,-0.0022337311730048705,3.772458299386531,17.0,0.7083333333333334,15.811772035000013,0 days 00:18:00,0.0035514159069516948,7.0,0 days 08:02:00,0.003485414139163942,21.51493158784116,0.006685656506228373,24.0,1.5533651821003365,0.6588238347916672,0.0
1/3/2019,5/3/2019,bitmex:EOS/BTC.ADA/BTC,200,0.5,4.5,-2.41%,0.18%,-0.18,0.33,4.28%,0.03%,4153,1693,1.3432769151834754,0 days 02:16:00,-0.7705242294036496,0.005171361400030305,-0.009959594232295116,-3.8526211470182483,0.020949853429494847,0 days 03:17:00,-0.004064548194003946,-0.003715026945236988,3.835322888795907,11.0,0.6875,10.92342491999998,0 days 00:17:00,0.003791254095681939,5.0,0 days 08:02:00,0.0036217448169515785,14.77604606701823,0.007115514367385908,16.0,1.7433285858163214,0.6827140574999989,0.0
1/3/2019,5/3/2019,bitmex:EOS/BTC.ADA/BTC,200,0.5,5.0,-2.41%,0.17%,-0.18,0.32,4.28%,0.03%,4153,1149,1.3600797227018064,0 days 01:57:00,-0.796251580504576,0.005618376585089124,-0.008682989777599919,-3.185006322018304,0.020949853429494847,0 days 02:40:00,-0.004203101335579915,-0.0039201257002779225,4.270257529159122,10.0,0.7142857142857143,10.415790904999762,0 days 00:41:00,0.003505764461978955,4.0,0 days 07:18:00,0.003946541274961539,13.600797227018065,0.00720639831917812,14.0,1.7081030116636486,0.7439850646428401,0.0
1/3/2019,5/3/2019,bitmex:EOS/BTC.ADA/BTC,200,1.0,4.0,-2.32%,0.26%,-0.18,0.42,4.14%,0.03%,4153,615,1.3203013603389033,0 days 00:58:00,-0.869765010823026,0.0048534713729708355,-0.010145587028998097,-6.088355075761182,0.018712462462461343,0 days 02:26:15,-0.004562320342788533,-0.0025834363744979137,3.686566050511634,17.0,0.7083333333333334,16.356768050000184,0 days 00:14:00,0.0034453276502493854,7.0,0 days 07:55:00,0.003615073834579414,22.445123125761363,0.006982236142907391,24.0,1.5179977855047901,0.6815320020833409,0.0
1/3/2019,5/3/2019,bitmex:EOS/BTC.ADA/BTC,200,1.0,4.5,-2.37%,0.21%,-0.18,0.35,4.16%,0.03%,4153,615,1.3910577114182123,0 days 00:58:00,-1.0071809992545995,0.0057047704769588705,-0.00889166863083881,-4.028723997018398,0.018712462462461343,0 days 02:34:22.500000,-0.0052904180914212645,-0.006103587203805013,4.1434192437537485,12.0,0.75,12.663968540000152,0 days 00:13:00,0.0033040434836677478,4.0,0 days 07:55:00,0.004210159216811598,16.692692537018548,0.007377018319555884,16.0,1.3811397479179162,0.7914980337500096,0.0
1/3/2019,5/3/2019,bitmex:EOS/BTC.ADA/BTC,200,1.0,5.0,-2.37%,0.21%,-0.18,0.35,4.16%,0.03%,4153,550,1.4716439751834733,0 days 00:45:00,-1.2583537240061462,0.006469581992188114,-0.007613687142870869,-3.7750611720184386,0.018712462462461343,0 days 01:51:17.142857,-0.0066069538501602985,-0.007053374362254389,4.288164612273769,11.0,0.7857142857142857,12.413022554999769,0 days 00:33:00,0.0033040434836677478,3.0,0 days 07:52:00,0.0047157498376728686,16.188083727018206,0.00780375993435464,14.0,1.1694994397110279,0.8866444682142692,0.0
1/3/2019,5/3/2019,bitmex:EOS/BTC.ADA/BTC,200,1.5,4.0,-2.33%,0.25%,-0.18,0.43,4.13%,0.02%,4153,573,1.0988000471153503,0 days 00:29:00,-0.4662941085095501,0.004809257461037355,-0.008463348985500864,-3.7303528680764013,0.013244203618739606,0 days 02:11:04.615384,-0.002438438256257391,-0.0006466940554783106,5.302018749308095,18.0,0.6923076923076923,16.048047979999907,0 days 00:07:00,0.0027174704029926263,8.0,0 days 07:57:00,0.0032746150970924095,19.778400848076306,0.005813749920803431,26.0,2.3564527774702646,0.617232614615381,0.0
