datetime,bitmex-BTC-available-balance,bitmex-BTC-balance,bitmex-BTC-balance-in-USD,bitmex-BTC-price,bitmex-EOS/BTC-fill,bitmex-EOS/BTC-leverage,bitmex-EOS/BTC-position,bitmex-EOS/BTC-position-in-BTC,bitmex-EOS/BTC-position-in-USD,bitmex-EOS/BTC-price,bitmex-total-position-in-BTC,bitmex-total-position-in-USD,fee,total,total-in-USD,returns,equity_curve,drawdown
2019-01-03 08:26:00,1.3611588220743958,1.3611588220743964,5303.755350212886,3896.5,-1,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5303.755350212886,-2.461077649118515e-05,1.0026295883399996,0.00010982706000017828
2019-01-03 08:27:00,1.3611588220743958,1.3611588220743964,5307.838826679109,3899.5,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5307.838826679109,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 08:28:00,1.3611588220743958,1.3611588220743964,5312.602882556369,3903.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5312.602882556369,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 08:29:00,1.3611588220743958,1.3611588220743964,5311.922303145332,3902.5,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5311.922303145332,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 08:30:00,1.3611588220743958,1.3611588220743964,5313.283461967407,3903.5,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5313.283461967407,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 08:31:00,1.3611588220743958,1.3611588220743964,5314.6446207894805,3904.5,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5314.6446207894805,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 08:32:00,1.3611588220743958,1.3611588220743964,5311.241723734295,3902.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5311.241723734295,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 08:33:00,1.3611588220743958,1.3611588220743964,5310.561144323257,3901.5,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5310.561144323257,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 08:34:00,1.3611588220743958,1.3611588220743964,5313.964041378444,3904.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5313.964041378444,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 08:35:00,1.3611588220743958,1.3611588220743964,5313.964041378444,3904.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5313.964041378444,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 08:36:00,1.3611588220743958,1.3611588220743964,5313.964041378444,3904.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5313.964041378444,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 08:37:00,1.3611588220743958,1.3611588220743964,5313.964041378444,3904.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5313.964041378444,0.0,1.0026295883399996,0.00010982706000017828
