datetime,bitmex-BTC/USD-fill,bitmex-BTC/USD-price,bitmex-ETH/USD-fill,bitmex-ETH/USD-price,cash,commission,total,bitmex-BTC/USD,bitmex-ETH/USD,returns,equity_curve,drawdown
2019-03-28 12:18:00,,4015.5,,141.0,107157.9567953777,1781.1925405352415,107284.88769608976,107125.31069951286,-106998.37979880079,-0.00012431682910285513,1.0728488769609004,0.00013338975308152534
2019-03-28 12:19:00,,4013.5,,140.95,107157.9567953777,1781.1925405352415,107269.47448272923,107071.95479828038,-106960.43711092886,-0.00014366621144434877,1.072694744827295,0.00028752188668690337
2019-03-28 12:20:00,SELL,4011.0,BUY,140.95,107262.10365266971,1788.563370594748,107262.10365266971,0.0,0.0,-6.871321123791407e-05,1.0726210365267,0.0003612301872819579
2019-03-28 12:21:00,,4011.0,,140.84,107262.10365266971,1788.563370594748,107262.10365266971,0.0,0.0,0.0,1.0726210365267,0.0003612301872819579
2019-03-28 12:22:00,,4011.5,,140.84,107262.10365266971,1788.563370594748,107262.10365266971,0.0,0.0,0.0,1.0726210365267,0.0003612301872819579
2019-03-28 12:23:00,SELL,4011.0,BUY,140.82,107254.71094584478,1795.9560774196652,107252.84850492641,-107248.73432652578,107246.87188560741,-8.628534615795491e-05,1.072528485049267,0.0004537816647149917
2019-03-28 12:24:00,,4011.5,,140.82,107254.71094584478,1795.9560774196652,107239.47917878248,-107262.10365266971,107246.87188560741,-0.00012465241091774715,1.0723947917878276,0.0005874749261542966
2019-03-28 12:25:00,,4011.5,,140.83,107254.71094584478,1795.9560774196652,107247.09506231363,-107262.10365266971,107254.48776913856,7.10175356077869e-05,1.072470950623139,0.0005113160908429837
2019-03-28 12:26:00,,4011.5,,140.89,107254.71094584478,1795.9560774196652,107292.79036350049,-107262.10365266971,107300.18307032542,0.0004260749548536946,1.0729279036350075,5.4363078974439816e-05
2019-03-28 12:27:00,BUY,4011.5,SELL,140.88,107285.39765667557,1803.3487842445825,107285.39765667557,0.0,0.0,-6.890217692978595e-05,1.0728539765667582,0.00012829014722370857
2019-03-28 12:28:00,,4010.0,,140.82,107285.39765667557,1803.3487842445825,107285.39765667557,0.0,0.0,0.0,1.0728539765667582,0.00012829014722370857
2019-03-28 12:29:00,,4010.0,,140.77642568,107285.39765667557,1803.3487842445825,107285.39765667557,0.0,0.0,0.0,1.0728539765667582,0.00012829014722370857
2019-03-28 12:30:00,SELL,4008.5,BUY,140.75,107278.00087465325,1810.7455662669104,107297.99361819333,-107245.26596179153,107265.25870533161,0.00011740611297406112,1.0729799361819357,2.330532046235234e-06
2019-03-28 12:31:00,,4009.0,,140.73,107278.00087465325,1810.7455662669104,107269.3744315095,-107258.64319341954,107250.01675027578,-0.0002667262053909214,1.0726937443150972,0.0002885223988846608
